price,num_bath,num_bed,num_parking,property_size,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,days_since_sale
520000,1,3,1,602,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3143
495000,1,3,1,626,7216,30108,3.018,-33.36629,151.4607,8,2.0,150.9,60.03,3143
730000,2,4,2,624,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3142
715000,3,5,2,732,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,3142
453000,2,3,1,330,7216,30108,3.018,-33.36629,151.4607,8,2.0,150.9,60.03,3142
2100000,1,4,1,417,11950,60840,2.31,-33.85205,151.15424,31,2.0,150.9,5.35,3141
1985000,1,3,0,112,1482,79300,0.251,-33.85966,151.20425,35,2.0,150.9,0.8,3141
1780000,1,3,0,111,1482,79300,0.251,-33.85966,151.20425,35,2.0,150.9,0.8,3141
1415000,1,2,0,272,5001,47684,1.02,-33.85841,151.14202,20,2.0,150.9,6.33,3141
545000,1,4,1,601,7934,34632,8.242,-33.39553,151.33681,10,2.0,150.9,53.4,3141
1230000,2,3,2,266,14772,41912,11.961,-33.9466,151.18371,3,2.0,150.9,9.35,3140
915000,2,5,2,619,14585,25012,4.536,-33.86202,150.88392,56,2.0,150.9,30.17,3140
619000,2,2,1,171,12419,34216,4.751,-33.95493,150.99524,18,2.0,150.9,22.21,3140
450000,1,3,4,588,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,3140
1800000,2,3,1,348,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,3139
1550000,1,3,2,961,4257,42484,11.614,-33.69054,151.15407,169,2.0,150.9,20.05,3139
1465000,2,4,1,853,9396,47112,5.117,-33.75342,151.06372,130,2.0,150.9,18.35,3139
1280000,1,2,1,303,1376,44876,0.374,-33.86584,151.14375,10,2.0,150.9,6.12,3139
1160000,1,3,0,186,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,3139
1085000,1,2,1,209,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,3139
1000000,2,6,3,822,10737,33644,4.135,-33.8105,151.06162,40,2.0,150.9,15.0,3139
925000,1,2,0,139,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,3139
820000,1,3,2,588,3540,34268,1.931,-33.97042,151.03352,51,2.0,150.9,20.06,3139
761000,2,3,1,551,3540,34268,1.931,-33.97042,151.03352,51,2.0,150.9,20.06,3139
1650000,1,2,1,531,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,3137
1543000,1,3,1,411,5001,47684,1.02,-33.85841,151.14202,20,2.0,150.9,6.33,3137
1100000,1,2,1,112,8262,69732,3.516,-33.9082,151.19191,9,2.0,150.9,5.06,3137
755000,1,1,1,59,10078,45604,0.805,-33.90769,151.2083,23,2.0,150.9,4.72,3137
500000,1,3,0,696,7216,30108,3.018,-33.36629,151.4607,8,2.0,150.9,60.03,3137
850000,1,4,1,313,14176,31616,5.608,-33.94767,151.01233,14,2.0,155.2,20.44,3124
478000,2,4,2,556,7216,30108,3.018,-33.36629,151.4607,8,2.0,155.2,60.03,3124
700000,2,3,1,980,1294,37440,5.879,-33.49756,151.40816,46,2.0,155.2,44.72,3123
540000,2,3,3,522,2028,31668,1.116,-33.32678,151.44557,3,2.0,155.2,63.59,3123
950000,1,3,2,588,3977,49296,1.598,-34.00258,151.0648,42,2.0,155.2,20.31,3121
785000,1,3,2,481,3806,39624,3.67,-33.82647,151.03151,4,2.0,155.2,17.06,3121
660000,3,2,2,917,1294,37440,5.879,-33.49756,151.40816,46,2.0,155.2,44.72,3121
487000,1,3,1,493,7934,34632,8.242,-33.39553,151.33681,10,2.0,155.2,53.4,3121
1620000,1,3,1,200,3303,78780,0.586,-33.85093,151.18309,24,2.0,155.2,2.94,3120
790000,1,4,2,556,9069,24388,2.929,-33.90028,150.99309,40,2.0,155.2,20.43,3120
450000,1,3,1,639,7934,34632,8.242,-33.39553,151.33681,10,2.0,155.2,53.4,3120
2890000,2,5,3,903,6347,60060,2.728,-33.8112,151.2183,87,2.0,155.2,6.03,3119
1960000,3,5,2,834,2978,38428,3.19,-33.75738,151.18183,78,2.0,155.2,12.23,3119
1800000,2,3,2,145,8262,69732,3.516,-33.9082,151.19191,9,2.0,155.2,5.06,3119
580000,2,3,1,200,6440,40768,1.693,-33.75523,150.88065,38,2.0,155.2,32.83,3119
2418000,2,3,0,205,9445,54964,1.079,-33.89296,151.2503,89,2.0,155.2,4.85,3118
2113000,2,4,4,850,5298,48672,3.684,-33.76365,151.12999,80,2.0,155.2,13.47,3118
2055000,3,5,2,718,9905,43628,5.131,-33.62899,151.32686,46,2.0,155.2,28.35,3118
2050000,2,3,2,667,399,33124,1.755,-33.99151,151.24014,50,2.0,155.2,14.29,3118
1930000,2,3,2,369,5001,47684,1.02,-33.85841,151.14202,20,2.0,155.2,6.33,3118
1740000,2,4,2,468,10612,34996,2.435,-33.88062,151.1169,28,2.0,155.2,8.77,3118
1500000,1,2,2,334,5001,47684,1.02,-33.85841,151.14202,20,2.0,155.2,6.33,3118
1435500,1,3,3,468,6912,25740,2.003,-33.93108,151.21145,18,2.0,155.2,7.32,3118
1390000,1,3,1,701,10612,34996,2.435,-33.88062,151.1169,28,2.0,155.2,8.77,3118
1219000,2,3,1,251,14772,41912,11.961,-33.9466,151.18371,3,2.0,155.2,9.35,3118
629000,2,3,2,306,1888,31148,1.143,-33.50518,151.33518,80,2.0,155.2,41.58,3118
1365000,1,3,2,279,8116,52884,1.287,-33.89452,151.1556,41,2.0,155.2,5.99,3117
2650000,2,4,2,674,4107,44876,1.508,-33.8268,151.10602,35,2.0,155.2,10.51,3116
1150000,3,4,2,524,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3116
925000,3,5,2,350,6160,40560,3.859,-33.97301,151.00632,33,2.0,155.2,22.31,3116
739950,2,4,2,700,7193,40352,2.481,-34.05177,150.74372,98,2.0,155.2,47.8,3116
1045000,2,4,3,522,3540,34268,1.931,-33.97042,151.03352,51,2.0,155.2,20.06,3115
920000,2,6,3,556,9069,24388,2.929,-33.90028,150.99309,40,2.0,155.2,20.43,3115
446000,2,4,1,614,2028,31668,1.116,-33.32678,151.44557,3,2.0,155.2,63.59,3115
935000,1,3,1,790,14176,31616,5.608,-33.94767,151.01233,14,2.0,155.2,20.44,3114
867000,2,4,2,575,14176,31616,5.608,-33.94767,151.01233,14,2.0,155.2,20.44,3114
689000,2,3,1,220,14176,31616,5.608,-33.94767,151.01233,14,2.0,155.2,20.44,3114
660000,2,3,2,632,2400,32604,3.974,-33.5035,151.36918,5,2.0,155.2,42.74,3114
587500,2,3,2,544,7193,40352,2.481,-34.05177,150.74372,98,2.0,155.2,47.8,3114
745000,1,4,0,720,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3113
730000,2,3,1,118,8116,52884,1.287,-33.89452,151.1556,41,2.0,155.2,5.99,3113
457000,2,3,1,311,7216,30108,3.018,-33.36629,151.4607,8,2.0,155.2,60.03,3113
820000,2,4,2,591,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3111
1570000,1,3,0,1416,5298,48672,3.684,-33.76365,151.12999,80,2.0,155.2,13.47,3108
1225000,1,3,2,936,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3108
740000,2,4,2,533,2545,36764,4.925,-33.49914,151.39045,27,2.0,155.2,43.91,3108
708000,2,3,2,586,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3108
675000,1,3,1,556,10216,20592,2.887,-33.88495,150.95058,11,2.0,155.2,24.09,3108
400000,1,2,1,506,7216,30108,3.018,-33.36629,151.4607,8,2.0,155.2,60.03,3108
950000,2,3,2,466,7287,43472,6.123,-33.73636,151.07741,168,2.0,155.2,18.83,3107
900000,1,2,1,603,8262,69732,3.516,-33.9082,151.19191,9,2.0,155.2,5.06,3107
795000,2,4,4,431,6440,40768,1.693,-33.75523,150.88065,38,2.0,155.2,32.83,3107
655000,2,4,2,701,7193,40352,2.481,-34.05177,150.74372,98,2.0,155.2,47.8,3107
545000,1,3,0,1024,4238,31252,2.079,-33.43514,151.35463,15,2.0,155.2,49.55,3106
2250000,4,5,2,737,1252,36816,0.63,-33.98679,151.11717,22,2.0,155.2,15.99,3093
875000,2,4,2,565,4765,50336,13.744,-33.99074,150.74247,81,2.0,155.2,45.41,3093
845000,2,5,4,664,6160,40560,3.859,-33.97301,151.00632,33,2.0,155.2,22.31,3093
650000,2,4,3,638,9301,33228,4.782,-33.76129,150.72784,42,2.0,155.2,46.09,3093
426000,1,3,2,601,4326,25480,11.434,-33.27889,151.43056,3,2.0,155.2,68.18,3093
915000,3,3,2,300,3540,34268,1.931,-33.97042,151.03352,51,2.0,155.2,20.06,3092
795000,3,4,2,663,2028,31668,1.116,-33.32678,151.44557,3,2.0,155.2,63.59,3092
525000,1,3,1,551,7934,34632,8.242,-33.39553,151.33681,10,2.0,155.2,53.4,3092
1420000,3,4,2,432,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3091
1250000,2,3,1,336,4107,44876,1.508,-33.8268,151.10602,35,2.0,155.2,10.51,3091
495000,2,4,2,702,4326,25480,11.434,-33.27889,151.43056,3,2.0,155.2,68.18,3091
469000,2,3,2,660,4326,25480,11.434,-33.27889,151.43056,3,2.0,155.2,68.18,3091
1710000,2,4,2,562,1209,20800,0.488,-33.9289,151.22527,25,2.0,155.2,7.21,3090
766000,1,3,1,556,14176,31616,5.608,-33.94767,151.01233,14,2.0,155.2,20.44,3090
1840000,1,3,0,264,9445,54964,1.079,-33.89296,151.2503,89,2.0,155.2,4.85,3089
1212000,1,2,1,835,5298,48672,3.684,-33.76365,151.12999,80,2.0,155.2,13.47,3088
518000,1,3,1,619,8800,31980,3.734,-34.08405,150.81805,126,2.0,155.2,43.6,3088
495000,1,3,1,648,7862,32864,2.976,-34.10624,150.79181,149,2.0,155.2,46.98,3088
1060000,2,4,2,720,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3087
930000,1,3,1,581,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3087
695000,3,4,2,512,7934,34632,8.242,-33.39553,151.33681,10,2.0,155.2,53.4,3086
