price,num_bed,num_bath,property_size,km_from_cbd,suburb_lng,suburb_lat,suburb_population,suburb_median_income,type
660000,2,3,917,44.72,151.40816,-33.49756,1294,37440,3
487000,3,1,493,53.4,151.33681,-33.39553,7934,34632,3
1620000,3,1,200,2.94,151.18309,-33.85093,3303,78780,3
790000,4,1,556,20.43,150.99309,-33.90028,9069,24388,3
450000,3,1,639,53.4,151.33681,-33.39553,7934,34632,3
2890000,5,2,903,6.03,151.2183,-33.8112,6347,60060,3
1960000,5,3,834,12.23,151.18183,-33.75738,2978,38428,3
1800000,3,2,145,5.06,151.19191,-33.9082,8262,69732,3
580000,3,2,200,32.83,150.88065,-33.75523,6440,40768,7
2418000,3,2,205,4.85,151.2503,-33.89296,9445,54964,3
2113000,4,2,850,13.47,151.12999,-33.76365,5298,48672,3
2055000,5,3,718,28.35,151.32686,-33.62899,9905,43628,3
2050000,3,2,667,14.29,151.24014,-33.99151,399,33124,3
1930000,3,2,369,6.33,151.14202,-33.85841,5001,47684,3
1740000,4,2,468,8.77,151.1169,-33.88062,10612,34996,3
1500000,2,1,334,6.33,151.14202,-33.85841,5001,47684,3
1435500,3,1,468,7.32,151.21145,-33.93108,6912,25740,3
1390000,3,1,701,8.77,151.1169,-33.88062,10612,34996,3
1219000,3,2,251,9.35,151.18371,-33.9466,14772,41912,3
629000,3,2,306,41.58,151.33518,-33.50518,1888,31148,3
1365000,3,1,279,5.99,151.1556,-33.89452,8116,52884,3
2650000,4,2,674,10.51,151.10602,-33.8268,4107,44876,3
1150000,4,3,524,15.0,151.06162,-33.8105,10737,33644,3
925000,5,3,350,22.31,151.00632,-33.97301,6160,40560,3
739950,4,2,700,47.8,150.74372,-34.05177,7193,40352,3
1045000,4,2,522,20.06,151.03352,-33.97042,3540,34268,3
920000,6,2,556,20.43,150.99309,-33.90028,9069,24388,3
446000,4,2,614,63.59,151.44557,-33.32678,2028,31668,3
935000,3,1,790,20.44,151.01233,-33.94767,14176,31616,3
867000,4,2,575,20.44,151.01233,-33.94767,14176,31616,3
689000,3,2,220,20.44,151.01233,-33.94767,14176,31616,10
660000,3,2,632,42.74,151.36918,-33.5035,2400,32604,3
587500,3,2,544,47.8,150.74372,-34.05177,7193,40352,3
745000,4,1,720,15.0,151.06162,-33.8105,10737,33644,3
730000,3,2,118,5.99,151.1556,-33.89452,8116,52884,0
457000,3,2,311,60.03,151.4607,-33.36629,7216,30108,3
820000,4,2,591,30.17,150.88392,-33.86202,14585,25012,3
1570000,3,1,1416,13.47,151.12999,-33.76365,5298,48672,3
1225000,3,1,936,15.0,151.06162,-33.8105,10737,33644,3
740000,4,2,533,43.91,151.39045,-33.49914,2545,36764,3
708000,3,2,586,30.17,150.88392,-33.86202,14585,25012,3
675000,3,1,556,24.09,150.95058,-33.88495,10216,20592,3
400000,2,1,506,60.03,151.4607,-33.36629,7216,30108,3
950000,3,2,466,18.83,151.07741,-33.73636,7287,43472,3
900000,2,1,603,5.06,151.19191,-33.9082,8262,69732,0
795000,4,2,431,32.83,150.88065,-33.75523,6440,40768,3
655000,4,2,701,47.8,150.74372,-34.05177,7193,40352,3
545000,3,1,1024,49.55,151.35463,-33.43514,4238,31252,3
2250000,5,4,737,15.99,151.11717,-33.98679,1252,36816,3
875000,4,2,565,45.41,150.74247,-33.99074,4765,50336,3
845000,5,2,664,22.31,151.00632,-33.97301,6160,40560,3
650000,4,2,638,46.09,150.72784,-33.76129,9301,33228,3
426000,3,1,601,68.18,151.43056,-33.27889,4326,25480,3
915000,3,3,300,20.06,151.03352,-33.97042,3540,34268,7
795000,4,3,663,63.59,151.44557,-33.32678,2028,31668,3
525000,3,1,551,53.4,151.33681,-33.39553,7934,34632,3
1420000,4,3,432,15.0,151.06162,-33.8105,10737,33644,3
1250000,3,2,336,10.51,151.10602,-33.8268,4107,44876,3
495000,4,2,702,68.18,151.43056,-33.27889,4326,25480,3
469000,3,2,660,68.18,151.43056,-33.27889,4326,25480,3
1710000,4,2,562,7.21,151.22527,-33.9289,1209,20800,3
766000,3,1,556,20.44,151.01233,-33.94767,14176,31616,3
1840000,3,1,264,4.85,151.2503,-33.89296,9445,54964,3
1212000,2,1,835,13.47,151.12999,-33.76365,5298,48672,3
518000,3,1,619,43.6,150.81805,-34.08405,8800,31980,3
495000,3,1,648,46.98,150.79181,-34.10624,7862,32864,3
1060000,4,2,720,15.0,151.06162,-33.8105,10737,33644,3
930000,3,1,581,15.0,151.06162,-33.8105,10737,33644,3
695000,4,3,512,53.4,151.33681,-33.39553,7934,34632,3
435000,3,2,569,76.65,151.56058,-33.23957,3360,29120,3
435000,4,2,556,76.65,151.56058,-33.23957,3360,29120,3
960000,4,2,784,20.31,151.0648,-34.00258,3977,49296,3
1400000,3,2,247,5.99,151.1556,-33.89452,8116,52884,3
1059000,4,2,552,15.0,151.06162,-33.8105,10737,33644,3
750000,3,1,540,18.62,151.0104,-33.88742,5808,24700,3
575000,4,2,746,43.91,151.39045,-33.49914,2545,36764,3
375000,2,1,465,68.18,151.43056,-33.27889,4326,25480,3
2455000,4,2,915,18.73,151.12465,-34.01833,1734,36296,3
2155000,4,2,605,15.99,151.11717,-33.98679,1252,36816,3
1330000,3,2,929,18.83,151.07741,-33.73636,7287,43472,3
910000,5,2,700,34.5,150.91278,-33.67757,7965,45812,3
871000,3,2,563,30.17,150.88392,-33.86202,14585,25012,3
1820000,4,2,835,12.23,151.18183,-33.75738,2978,38428,3
1160000,3,1,242,6.74,151.14668,-33.8953,3164,48204,3
1330000,3,1,234,5.99,151.1556,-33.89452,8116,52884,3
840000,4,3,605,30.17,150.88392,-33.86202,14585,25012,3
1865000,4,2,702,13.21,151.06711,-33.86291,8609,35412,3
1080000,4,2,700,34.5,150.91278,-33.67757,7965,45812,3
780000,3,2,570,30.17,150.88392,-33.86202,14585,25012,3
860000,4,2,590,30.17,150.88392,-33.86202,14585,25012,3
